id;title;description;availability;condition;price;link;image_link;brand
1778006192023;Passata Tradizionale SANTA TAVOLA 680g;"<div style=""overflow-wrap: break-word; margin: 16px 0px;""><br></div><div></div><div></div>";in stock;new;18.9 BRL;https://donaantonia.com.br/produto/1778006192023;../site/img/produtos_2/06192023.webp;SANTA TAVOLA
1778005766792;Passata RÚSTICA Di Pomodoro SANTA TAVOLA 680g;"<div style=""overflow-wrap: break-word; margin: 16px 0px;""><br></div><div></div><div></div>";in stock;new;18.9 BRL;https://donaantonia.com.br/produto/1778005766792;../site/img/produtos_2/05766792.webp;SANTA TAVOLA
1778005460738;KIT SHAMPOO + CONDICIONADOR | COLLAGEN LIFTER | ELSEVE 375ml + 170ml;KIT SHAMPOO + CONDICIONADOR | COLLAGEN LIFTER | ELSEVE 375ml + 170ml;in stock;new;34.9 BRL;https://donaantonia.com.br/produto/1778005460738;../site/img/produtos_2/05460738.webp;ELSEVE
1778005422689;KIT SHAMPOO + CONDICIONADOR | LONGO DOS SONHOS | ELSEVE 375ml + 170ml;KIT SHAMPOO + CONDICIONADOR | LONGO DOS SONHOS | ELSEVE 375ml + 170ml;in stock;new;34.9 BRL;https://donaantonia.com.br/produto/1778005422689;../site/img/produtos_2/05422689.webp;ELSEVE
1778005297538;KIT SHAMPOO + CONDICIONADOR | LISO DOS SONHOS | ELSEVE 375ml + 170ml;KIT SHAMPOO + CONDICIONADOR | LISO DOS SONHOS | ELSEVE 375ml + 170ml;in stock;new;34.9 BRL;https://donaantonia.com.br/produto/1778005297538;../site/img/produtos_2/05297538.webp;ELSEVE
1778005164882;KIT SHAMPOO + CONDICIONADOR | GLYCOLIC GLOSS | ELSEVE 375ml + 170ml;KIT SHAMPOO + CONDICIONADOR | GLYCOLIC GLOSS | ELSEVE 375ml + 170ml;in stock;new;34.9 BRL;https://donaantonia.com.br/produto/1778005164882;../site/img/produtos_2/05164882.webp;ELSEVE
1778005077667;KIT SHAMPOO + CONDICIONADOR | REPARAÇÃO TOTAL 5 | ELSEVE 375ml + 170ml;KIT SHAMPOO + CONDICIONADOR | REPARAÇÃO TOTAL 5 | ELSEVE 375ml + 170ml;in stock;new;34.9 BRL;https://donaantonia.com.br/produto/1778005077667;../site/img/produtos_2/05077667.webp;ELSEVE
1778004950739;KIT SHAMPOO + CONDICIONADOR | ÓLEO EXTRAORDINÁRIO | ELSEVE 375ml + 170ml;KIT SHAMPOO + CONDICIONADOR | ÓLEO EXTRAORDINÁRIO | ELSEVE 375ml + 170ml;in stock;new;34.9 BRL;https://donaantonia.com.br/produto/1778004950739;../site/img/produtos_2/04950739.webp;ELSEVE
1778004800220;KIT SHAMPOO + CONDICIONADOR | CACHOS LONGOS DOS SONHOS | ELSEVE 375ml + 170ml;KIT SHAMPOO + CONDICIONADOR | CACHOS LONGOS DOS SONHOS | ELSEVE 375ml + 170ml;in stock;new;34.9 BRL;https://donaantonia.com.br/produto/1778004800220;../site/img/produtos_2/04800220.webp;ELSEVE
1778004627644;CAFÉ 3 FAZENDAS SACHE 500G;CAFÉ 3 FAZENDAS SACHE 500G;in stock;new;28.9 BRL;https://donaantonia.com.br/produto/1778004627644;../site/img/produtos_2/04627644.webp;3 FAZENDAS
